#PROFILE,#PACKAGE_TYPE,#PRIVILEGE_LEVEL,#API_VERSION_ISSUED,#API_VERSION_EXPIRED,#DOCUMENTED,#PRIVILEGE_NAME,#PRIVILEGE_DISPLAY,#PRIVILEGE_DESCRIPTION,#PRIVILEGE_GROUP,#CHANGED_TO_2_4_0
tv,wrt,public,2.3,9.9,yes,http://tizen.org/privilege/alarm,IDS_TPLATFORM_HEADER_MANAGING_ALARMS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_MANAGE_ALARMS_BY_RETRIEVING_SAVED_ALARMS_AND_WAKING_THE_DEVICE_UP_AT_SCHEDULED_TIMES,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,
tv,wrt,public,2.3,9.9,yes,http://tizen.org/privilege/application.info,IDS_TPLATFORM_BODY_RETRIEVING_APPLICATION_INFORMATION_M_NOUN,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_RETRIEVE_INFORMATION_RELATED_TO_OTHER_APPLICATIONS,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,
tv,wrt,public,2.3,9.9,yes,http://tizen.org/privilege/application.launch,IDS_TPLATFORM_BODY_OPENING_APPLICATIONS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_OPEN_OTHER_APPLICATIONS_USING_THE_APPLICATION_ID_OR_APPLICATION_CONTROL,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,
tv,wrt,partner,2.3,9.9,yes,http://tizen.org/privilege/appmanager.certificate,IDS_TPLATFORM_BODY_GETTING_APPLICATION_CERTIFICATES,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_RETRIEVE_SPECIFIED_APPLICATION_CERTIFICATES,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,
tv,wrt,partner,2.3,9.9,yes,http://tizen.org/privilege/appmanager.kill,IDS_TPLATFORM_BODY_CLOSING_APPLICATIONS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_CLOSE_OTHER_APPLICATIONS,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,
tv,wrt,public,2.3,9.9,yes,http://tizen.org/privilege/content.read,IDS_TPLATFORM_BODY_READING_CONTENT,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_READ_MEDIA_CONTENT_INFORMATION,IDS_TPLATFORM_BODY_PERSONAL_INFORMATION_ABB,
tv,wrt,public,2.3,9.9,yes,http://tizen.org/privilege/content.write,IDS_TPLATFORM_BODY_MANAGING_CONTENT,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_CHANGE_MEDIA_INFORMATION_THIS_INFORMATION_CAN_BE_USED_BY_OTHER_APPLICATIONS,IDS_TPLATFORM_BODY_PERSONAL_INFORMATION_ABB,
tv,wrt,public,2.3,9.9,yes,http://tizen.org/privilege/download,IDS_TPLATFORM_BODY_DOWNLOADING_VIA_HTTP,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_MANAGE_HTTP_DOWNLOADS_THIS_MAY_RESULT_IN_ADDITIONAL_CHARGES_DEPENDING_ON_YOUR_PAYMENT_PLAN,IDS_TPLATFORM_BODY_NETWORK_CONNECTIONS_ABB,
tv,wrt,public,2.3,9.9,yes,http://tizen.org/privilege/filesystem.read,IDS_TPLATFORM_BODY_READING_FILE_SYSTEMS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_READ_FILE_SYSTEMS,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,
tv,wrt,public,2.3,9.9,yes,http://tizen.org/privilege/filesystem.write,IDS_TPLATFORM_BODY_WRITING_TO_FILE_SYSTEMS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_WRITE_TO_FILE_SYSTEMS,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,
